intent,query
Card: disable,"I need to block my card, it might be at risk."
Card: disable,"Can you put a hold on my debit card, please?"
Card: disable,"I'm worried about suspicious charges, pause my card!"
Card: disable,"Someone might have my card details, freeze it now!"
Card: disable,How do I deactivate my current card temporarily?
Card: disable,I want to disable my banking card immediately.
Card: disable,"Lock down my card, I think it's compromised!"
Card: disable,Put a freeze on my business card ASAP.
Card: disable,How can I disable my card on the app?
Card: disable,Can you assist me to temporarily block my card?
Card: disable,"Please deactivate my card, I can't find it."
Card: disable,"I lost my wallet, need to block my card now!"
Card: disable,"Help me disable my card, I suspect fraud."
Card: disable,I wanna put my card on ice for a while.
Card: disable,"Need to disable my card, got a notification about unusual activity."
Card: disable,"Going on a trip, can I pause my card until I'm back?"
Card: disable,I'd like to suspend my card usage for some time.
Card: disable,"My card's been nicked, disable it to prevent misuse."
Card: disable,"Can I get a temp block on my card, please?"
Card: disable,"I think my card info's leaked, can we disable it?"
Card: disable,"Yo, I gotta disable my card, like, right now!"
Card: disable,"I believe my card's at risk, stop it from being used."
Card: disable,"Let's put my prepaid card on hold, just to be safe."
Card: disable,How do I stop my card from working? I think I dropped it somewhere.
Card: disable,Can you help me turn off my card for security reasons?
Card: disable,"I'm not using my card for a bit, can you disable it?"
Card: disable,"Freeze my card, I've noticed some fishy charges."
Card: disable,How quickly can you deactivate my card?
Card: disable,"Need to secure my account, please disable my card stat."
Card: disable,Could you help me block my card? I think it got swiped.
Card: disable,Can we put a stop to my card before someone uses it?
Card: disable,"I'm freaking out, I need my card disabled right this second."
Card: disable,How do I stop my card from being used if it's stolen?
Card: disable,"I'm not sure where my card is, can we disable it just in case?"
Card: disable,"Hey, can you switch off my card? I might have lost it last night."
Card: disable,"I need to block my card immediately, please help"
Card: disable,Can you temporarily disable my bank card?
Card: disable,"I've misplaced my card, can it be paused for now?"
Card: disable,How do I go about suspending my card?
Card: disable,Please deactivate my card as I can't find it
Card: disable,What's the process to put a hold on my debit card?
Card: disable,"I suspect fraud on my card, could you block it?"
Card: disable,"I want to disable my card, what should I do?"
Card: disable,"Lock my card, I think it's been compromised"
Card: disable,Temporarily disable my prepaid card please
Card: disable,Can you assist me in freezing my bank card?
Card: disable,I wish to pause my card usage until further notice
Card: disable,"My card might be stolen, can you disable it to be safe?"
Card: disable,"Deactivate my business card, I need to secure my account"
Card: disable,How do I stop transactions on my card for the time being?
Card: enable,"Can you reactivate my card, please?"
Card: enable,"I think it's time to unblock my card, how do I do that?"
Card: enable,"I've found my card, how do I turn it back on?"
Card: enable,"Let's get my card working again, can you help?"
Card: enable,"Help me enable my card, it's currently blocked."
Card: enable,"I accidentally blocked my card, can we undo that?"
Card: enable,How do I go about reactivating my card?
Card: enable,"I need to use my card again, can you unblock it?"
Card: enable,"My card's on a timeout, how do I bring it back to life?"
Card: enable,Is there a way to switch my card from blocked to active?
Card: enable,"I've secured my card, need to enable it again, what's next?"
Card: enable,What's the process to get my card back in action?
Card: enable,"I want to start using my card again, help me enable it."
Card: enable,"I fixed the issue with my card, can we enable it now?"
Card: enable,Please guide me on how to re-enable my bank card.
Card: enable,"My card's been on hold, time to release it. How?"
Card: enable,"Let's get my card up and running again, please."
Card: enable,Anyway to quickly enable my card? It's currently paused.
Card: enable,"Time to get my card back online, what are the steps?"
Card: enable,"Unlock my card for me, will ya?"
Card: enable,"How to proceed with enabling my card, it's currently disabled."
Card: enable,"My card needs to be back in action, can you enable it?"
Card: enable,"Need to make my card active again, please assist."
Card: enable,"I'm ready to use my card again, need some help enabling it."
Card: enable,Can you switch my card status back to active?
Card: enable,"My card got disabled before, but I'd like to use it now, how?"
Card: enable,"Let's reactivate my card, I've sorted everything out."
Card: enable,How do I lift the block on my bank card?
Card: enable,"Missing using my card, how do I re-enable it?"
Card: enable,"I want to remove the block from my card, guide me through?"
Card: enable,"Help me enable my card, got some shopping to do!"
Card: enable,"I need to unblock my card, what's the procedure?"
Card: enable,"Card unblocking steps needed, got a minute?"
Card: enable,"I would like to activate my card again, who do I talk to?"
Card: enable,"Could you assist me in enabling my card, it's been blocked."
Card: enable,How do I reactivate my paused debit card?
Card: enable,Can you assist me in unlocking my credit card?
Card: enable,I'd like to enable my previously blocked bank card.
Card: enable,Please guide me through the process of unblocking my card.
Card: enable,I need help enabling my business card that I suspended earlier.
Card: enable,What steps do I take to restore my card's active status?
Card: enable,Is there a way to reactivate my card online?
Card: enable,"My card was temporarily locked, how do I unlock it?"
